timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732623899347,1166,2n Tech,200,OK,Thread Group 1-1,text,true,,458743,113,1,1,https://2nhaber.com/,874,0,771
1732623900521,349,2n Tech Neden,200,OK,Thread Group 1-1,text,true,,259324,237,1,1,https://2nhaber.com/neden/,133,0,0
1732623900521,133,2n Tech Neden-0,301,Moved Permanently,Thread Group 1-1,text,true,,265,118,1,1,https://2nhaber.com/neden,133,0,0
1732623900656,214,2n Tech Neden-1,200,OK,Thread Group 1-1,text,true,,259059,119,1,1,https://2nhaber.com/neden/,75,0,0
1732623900872,12421,2n Tech Nasil,200,OK,Thread Group 1-1,text,true,,5187152,14511,1,1,https://2nhaber.com/nasil/,147,0,0
1732623900872,147,2n Tech Nasil-0,301,Moved Permanently,Thread Group 1-1,text,true,,265,118,1,1,https://2nhaber.com/nasil,147,0,0
1732623901020,219,2n Tech Nasil-1,200,OK,Thread Group 1-1,text,true,,260741,119,1,1,https://2nhaber.com/nasil/,79,0,0
1732623901357,177,2n Tech Nasil-2,200,OK,Thread Group 1-1,text,true,,167902,198,1,1,https://2nhaber.com/wp-content/themes/the-reporter/theme-config/assets/css/default-vars.min.css?ver=1.0.0,60,0,0
1732623901928,57,2n Tech Nasil-3,200,OK,Thread Group 1-1,text,true,,4149,171,1,1,https://2nhaber.com/wp-content/plugins/revslider/public/css/sr7.css?ver=6.7.21,57,0,0
1732623902003,55,2n Tech Nasil-4,200,OK,Thread Group 1-1,text,true,,1401,163,1,1,https://2nhaber.com/wp-content/themes/the-reporter/style.css?ver=1.0.0,55,0,0
1732623902059,64,2n Tech Nasil-5,200,OK,Thread Group 1-1,text,true,,20314,198,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.32.0,60,0,0
1732623902146,336,2n Tech Nasil-6,200,OK,Thread Group 1-1,text,true,,340244,186,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/the-reporter-frontend.min.css?ver=screen,66,0,0
1732623902791,128,2n Tech Nasil-7,200,OK,Thread Group 1-1,text,true,,85797,198,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/the-reporter-gutenberg-wp-frontend.min.css?ver=1.0.0,60,0,0
1732623903044,409,2n Tech Nasil-8,200,OK,Thread Group 1-1,text,true,,60954,184,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1732474072,60,0,0
1732623903519,64,2n Tech Nasil-9,200,OK,Thread Group 1-1,text,true,,16764,191,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5,61,0,0
1732623903599,61,2n Tech Nasil-10,200,OK,Thread Group 1-1,text,true,,10553,194,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.25.10,59,0,0
1732623903671,67,2n Tech Nasil-11,200,OK,Thread Group 1-1,text,true,,29977,172,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/post-25.css?ver=1732474072,61,0,0
1732623903766,59,2n Tech Nasil-12,200,OK,Thread Group 1-1,text,true,,6829,217,1,1,https://2nhaber.com/wp-content/plugins/cmsmasters-elementor-addon/assets/lib/cmsicons/css/cmsmasters-icons.min.css?ver=1.0.0,59,0,0
1732623903829,2008,2n Tech Nasil-13,200,OK,Thread Group 1-1,text,true,,2121400,195,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/cmsmasters-custom-frontend.min.css?ver=1732474072,60,0,0
1732623907259,66,2n Tech Nasil-14,200,OK,Thread Group 1-1,text,true,,4588,187,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.25.10,66,0,0
1732623907328,72,2n Tech Nasil-15,200,OK,Thread Group 1-1,text,true,,890,187,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.25.10,72,0,0
1732623907401,113,2n Tech Nasil-16,200,OK,Thread Group 1-1,text,true,,21345,175,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/post-31620.css?ver=1732474404,60,0,0
1732623907542,124,2n Tech Nasil-17,200,OK,Thread Group 1-1,text,true,,67373,172,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/post-61.css?ver=1732474071,62,0,0
1732623907736,62,2n Tech Nasil-18,200,OK,Thread Group 1-1,text,true,,17357,173,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/post-173.css?ver=1732474071,60,0,0
1732623907810,55,2n Tech Nasil-19,200,OK,Thread Group 1-1,text,true,,484,170,1,1,https://2nhaber.com/wp-content/themes/the-reporter-child/style.css?ver=1.0.15,55,0,0
